country_code year quarter vessel_length fishing_tech gear_type target_assemblage mesh_size_range metier supra_region sub_region eez_indicator geo_indicator specon_tech deep rectangle_type rectangle_lat rectangle_lon c_square totfishdays confidential
92 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -3.5 NA 7 N
93 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 3 N
94 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 87 N
95 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -3.5 NA 0.5 N
96 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 20 N
97 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 98.5 N
98 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -5.5 NA 93 N
99 NIR 2018 1 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -4.5 NA 1.5 N
100 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -5.5 NA 1 N
101 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 5.5 N
102 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 87 N
103 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 23 N
104 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 20.5 N
105 NIR 2018 1 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -5.5 NA 2 N
106 NIR 2018 1 VL1218 FPO DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -4.5 NA 2 N
107 NIR 2018 1 VL1218 FPO DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 23 N
108 NIR 2018 1 VL1218 FPO DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 7 N
109 NIR 2018 2 VL1218 DRB DRB NK NA NK NAO 27.6.A NA NGI NK NA 05*1 54.75 -5.5 NA 1 N
110 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -6.5 NA 12 N
111 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -5.5 NA 1 N
112 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -6.5 NA 3 N
113 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -5.5 NA 1 N
114 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.25 -6.5 NA 4 N
115 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -5.5 NA 3 N
116 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -3.5 NA 1 N
117 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 127.5 N
118 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 5 N
119 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 48 N
120 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -5.5 NA 22.5 N
121 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 49.75 -5.5 NA 2 N
122 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -4.5 NA 11 N
123 NIR 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.F NA NGI NK NA 05*1 50.25 -5.5 NA 1 N
124 NIR 2018 2 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 1 N
125 NIR 2018 2 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 30 N
126 NIR 2018 2 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 1 N
127 NIR 2018 2 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 5 N
128 NIR 2018 2 VL1218 FPO DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 25 N
129 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 49.75 -0.5 NA 8 N
130 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 -0.5 NA 2 N
131 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 0.5 NA 10 N
132 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.75 -0.5 NA 1 N
133 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -6.5 NA 56 N
134 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -5.5 NA 4 N
135 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -6.5 NA 2 N
136 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -5.5 NA 3 N
137 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -5.5 NA 1 N
138 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 1 N
139 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 1 N
140 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -4.5 NA 29 N
141 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -3.5 NA 8 N
142 NIR 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -2.5 NA 5 N
143 NIR 2018 4 VL1218 DRB DRB NK NA NK NAO 27.7.E NA NGI NK NA 05*1 50.25 -4.5 NA 1 N
144 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 -0.5 NA 2 N
145 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 0.5 NA 19 N
